iteracion,max_depth,min_child_weight,subsample,colsample_bytree,eta,gamma,lambda,alpha,optntrees,minerror,sensibilidad,kappa
52,2,1,0.7,0.6,0.001,0.01,1,0.1,557,0.6567500627040863,0.15789473684210525,0.18864097363083154
53,2,1,0.7,0.6,0.001,0.01,1,1,555,0.6581832836568355,0.09210526315789473,0.11174047373841411
54,2,1,0.7,0.6,0.001,0.01,1,10,4,0.6727691899240018,0.0,0.0
55,2,1,0.7,0.6,0.001,0.01,1,100,1,0.672785379588604,0.0,0.0
56,2,1,0.7,0.6,0.001,0.01,10,0,465,0.6649581681191921,0.0,0.0
57,2,1,0.7,0.6,0.001,0.01,10,0.001,465,0.6649630980193615,0.0,0.0
58,2,1,0.7,0.6,0.001,0.01,10,0.01,465,0.6649706257879734,0.0,0.0
59,2,1,0.7,0.6,0.001,0.01,10,0.1,465,0.6650290106236936,0.0,0.0
60,2,1,0.7,0.6,0.001,0.01,10,1,1000,0.6601481485366822,0.039473684210526314,0.04848800834202294
61,2,1,0.7,0.6,0.001,0.01,10,10,4,0.6727758276462554,0.0,0.0
62,2,1,0.7,0.6,0.001,0.01,10,100,1,0.672785379588604,0.0,0.0
63,2,1,0.7,0.6,0.001,0.01,100,0,350,0.6716462163627148,0.0,0.0
64,2,1,0.7,0.6,0.001,0.01,100,0.001,350,0.671646343767643,0.0,0.0
65,2,1,0.7,0.6,0.001,0.01,100,0.01,350,0.6716474221646787,0.0,0.0
66,2,1,0.7,0.6,0.001,0.01,100,0.1,350,0.6716578330099583,0.0,0.0
67,2,1,0.7,0.6,0.001,0.01,100,1,350,0.671764104962349,0.0,0.0
68,2,1,0.7,0.6,0.001,0.01,100,10,4,0.6727833856642247,0.0,0.0
69,2,1,0.7,0.6,0.001,0.01,100,100,1,0.672785379588604,0.0,0.0
70,2,1,0.7,0.6,0.001,0.1,0.01,0,985,0.647329371869564,0.42105263157894735,0.47418738049713194
71,2,1,0.7,0.6,0.001,0.1,0.01,0.001,985,0.6472275641560554,0.42105263157894735,0.47418738049713194
72,2,1,0.7,0.6,0.001,0.1,0.01,0.01,985,0.6471167115867138,0.42105263157894735,0.47418738049713194
73,2,1,0.7,0.6,0.001,0.1,0.01,0.1,988,0.6473183825612068,0.40789473684210525,0.46069031639501434
74,2,1,0.7,0.6,0.001,0.1,0.01,1,1000,0.6490962539613248,0.3684210526315789,0.41972920696324956
75,2,1,0.7,0.6,0.001,0.1,0.01,10,10,0.6727673016488551,0.0,0.0
76,2,1,0.7,0.6,0.001,0.1,0.01,100,1,0.672785379588604,0.0,0.0
77,2,1,0.7,0.6,0.001,0.1,0.1,0,464,0.6568307465314864,0.15789473684210525,0.18864097363083154
78,2,1,0.7,0.6,0.001,0.1,0.1,0.001,553,0.6551366604864597,0.18421052631578946,0.2187500000000001
79,2,1,0.7,0.6,0.001,0.1,0.1,0.01,553,0.6550514301657675,0.18421052631578946,0.2187500000000001
80,2,1,0.7,0.6,0.001,0.1,0.1,0.1,464,0.6569087122380732,0.15789473684210525,0.18864097363083154
81,2,1,0.7,0.6,0.001,0.1,0.1,1,1000,0.6490871401131153,0.35526315789473684,0.40591658583899115
82,2,1,0.7,0.6,0.001,0.1,0.1,10,10,0.6727674163877964,0.0,0.0
83,2,1,0.7,0.6,0.001,0.1,0.1,100,1,0.672785379588604,0.0,0.0
84,2,1,0.7,0.6,0.001,0.1,1,0,703,0.6540118880569935,0.18421052631578946,0.2187500000000001
85,2,1,0.7,0.6,0.001,0.1,1,0.001,703,0.654020168185234,0.18421052631578946,0.2187500000000001
86,2,1,0.7,0.6,0.001,0.1,1,0.01,703,0.6541223157942295,0.18421052631578946,0.2187500000000001
87,2,1,0.7,0.6,0.001,0.1,1,0.1,557,0.656717952042818,0.15789473684210525,0.18864097363083154
